,text,emotion
0,hari pasang teman lain damai alami kontak orang hormat,0
1,kali bayang cinta hubung sakit serius mati,1
2,laku adil milik ini,2
3,pikir singkat hidup hubung periode hidup pikir singkat ini,3
4,temu dapat sengaja duduk samping orang dapat anggap rendah diskriminatif,4
5,kejut sekali sangka tahu saya jarang duga tesebut,5
6,pacar ambil uji pergi asuh,0
7,kapan kali sadar arti mati,1
8,mobil salip paksa setir jalan,2
9,baru pikir kerja keras butuh ajar coba lain baca buku teoretis bahasa inggris erti,3
10,temu bulu tabung pasta hati,4
11,lulus uji laku baik,0
12,atur temu orang lambat datang orang pikir salah celaka lintas,1
13,adil tuduh orang,2
14,teliti sulit tarik,3
15,kenal pikir orang teman curi hal itu alas,4
16,lewat uji harap lulus,0
17,panjat pohon ambil apel sudut tangga jalan tinggi sirat tangga stabil,1
18,milik anak,0
19,putra usia 2 duduk balkon lantai 7 kaki nongkrong gang erat pagar balkon mudah hilang imbang duduk,1
20,pasang serang hilang gigi,2
21,anak t v daerah hancur kering perang,3
22,jalan cacing rangkak pergi,4
23,anak lahir,0
24,musim semi es cair dermaga tusuk es cabang coba pecah cabang tembus es jatuh air tutup kepala,1
25,tuduh adil akting saya,2
26,gagal periksa,3
27,mabuk jatuh darah basah sendiri jijik ubah sedih-tidak enak,4
28,lama,0
29,ketika kecil jatuh mobil,1
30,dengar radio tanding sepak bola belgia malapetaka orang tinggal dunia erti orang normal sikap rupa,2
31,sepi ajar tutup mulut apartemen saya khusus lain,3
32,ajar media massa perang bunuh dunia ini,4
33,terima kursus uang akuntansi,0
34,bus laju lewat kaki kanan saya acara takut tunggu bangsal darurat jam kaki bengkak takut,1
35,kerja musim panas saya rawat khusus ajar sendiri,2
36,terima mahasiswa bidang uang akuntansi,3
37,pindah apartemen saya temu ventilator dapur bersih temu drum penuh lumpur lendir jijik,4
38,lulus uji 2 poin,0
39,pondok hutan besar gelap,1
40,stasiun kereta api selamat tinggal,3
41,cacat kain anak italia tipu,4
42,lulus uji benar gagal,0
43,jalan pulang denmark teman yatch kecil badai teman tiup laut takut hasil bawa kapal,1
44,kunci diri,2
45,rindu rumah trem jalan guyur hujan,3
46,temu cacing makan makan beberapa,4
47,menang jalan yunani kompetisi,0
48,gelap karakter curiga arah saya,1
49,kerja pria tua keluh adil percaya saya,2
50,erti apa ceramah,3
51,candu alkohol diri giring bola meja makan,4
52,pesta ulang teman teman dekat saya senang orang senang milik teman itu,0
53,jalan pulang jumat malam hujan deras mobil belok hilang kontak muka jalan detik,1
54,gila ayah,2
55,cinta balas,3
56,mentimun bau busuk,4
57,senang menang kolam sepak bola,0
58,terbang athena kopenhagen libur pesawat tangkap badai guncang jatuh,1
59,curi motor saya,2
60,daftar buku baca kursus sesuai pikir oh tuhan itu,3
61,baca artikel surat kabar ramal makan burger katak 2000 ilustrasi ekor katak potong roti,4
62,keluarga kumpul libur minggu orang bebas jalan rencana baik nikmat sendiri,0
63,temu putri usia 2 tahun lari cari mana temu akhir temu tidur,1
64,teman coba jatuh sakit,2
65,krisis kawin bosan,3
66,uang muka ingin,4
67,lulus uji ulang,0
68,pergi stockholm kali kendara jalan stora hissingen jalan salah,1
69,pacar pergi libur bulan penuh saya,2
70,libur musim panas ajar periksa ulang pacar pergi yunani libur bulan,3
71,anjing biar rengek toko,4
72,diberitahu terima mahasiswa ekonomi,0
73,ambil jalan pintas taman vasa keliling orang coba curi uang saya takut selamat tampil orang lain,1
74,restoran amat orang gipsi coba uang tipu orang asing bahasa swedia marah hubung benci orang asing ungkap amarah rasa orang guna,2
75,kursus baru takut hadap atas pikir putar putar gagal subjek konsekuensi milik depan,3
76,jalan kota polisi ganggu orang pengaruh alkohol takut tangkap kemudi belakang jalan pejal kaki jijik arah gerak tubuh ekspresi wajah polisi nikmat sendiri,4
77,lewat uji selisih tanda,0
78,ayah sakit tunggu hasil tes,1
79,tangkap basah tuang hujan kamis milik jas hujan saya,2
80,gagal uji,3
81,lahir anak hidup hasil baik lahir paru fungsi tahun lalu,0
82,ayah derita kanker paru hidup,1
83,rekan bantu kerja lepas nyata milik laku milik,2
84,naik gaji harap erti betapa kerja harga,3
85,siang kebun temu ekor kadal tangan,4
86,malam 1983 1984 temu pacar saya diri tangga rumah orang tua cium kali,0
87,henti polisi polos mobil kendara balik avenue kemudi cepat takut henti toild pergi situasi gembira konsekuensi,1
88,editor ubah judul artikel tulis anggap hina orang tulis,2
89,kenal keluarga tinggal kanker paru harap tekan,3
90,gambar gothenburg post mobil benar hancur tumpang luka parah mobil rusak parah keluar mayat jadi,4
91,pinjam studi saya,0
92,temu orang mabuk niat ragu gang rabu malam,1
93,t v fitur berita afrika selatan polisi serang kelompok orang kulit hitam cambuk,2
94,gagas baca buku bosan 400 halaman bahasa inggris,3
95,groveling orang,4
96,amat kafetaria ribut tel makan milik perilaku buruk,4
97,saudara - riwayat aborsi lahir mati - lahir anak laki sehat,0
98,kakak perempuan lahir anak lahir dalam butuh pulih kembali,1
99,proyek siswa guru ajak bicara negatif bantu,2
100,pacar buka kecewa saya pilih cewek lain,3
101,jijik pacar waktu tinggal,4
102,kunjung duga teman dekat lihat tahun,0
103,jalan keliru zona aman jarak tembak tembak,1
104,laku adil,2
105,putus cewek,3
106,ada,4
107,terima mahasiswa guru tinggi mungkin,0
108,jadi celaka temu teman sekolah bunuh,1
109,tuduh sesuatu marah,2
110,nenek tinggal,3
111,terap,4
112,libur musim panas pancing danau suami saya hujan turun matahari sinar alami asa gembira bahagia penuh alam penuh musik,0
113,rumah tidur baca majalah womens di storiees alam paranormal kaki gatal regang tangan garuk rasa tangan aneh kemudian sadar sudut selimut,1
114,kuliah batal kali milik sikap negatif dosen,2
115,dengar mantan atas tinggal pulang rumah baca koran pikir interaksi jadi ruang lingkup hidup manusia batas sedih,3
116,trem wanita wajah gemetar gemuk hadap arah suara tebal bangun cium bau air kencing jijik dari cekik,4
117,milik kerja musim panas swedia pacar temu ulang saya,0
118,latih swedia musim panas takut laku baik,1
119,pondok libur asosiasi kami teman bangun pagi bawa radio main volume tinggi kamar - layan pagi keras,2
120,nenek tinggal dadak musim panas lalu,3
121,atas kerja musim panas tipu langgan bisa tempat situasi sulit benci,4
122,diberitahu duga wakil ketua organisasi mahasiswa kami benar kejut gembira emosi rasa balik khawatir - sukses,0
123,kelompok tutorial bagi daftar nama mahasiswa baru kelompok saya baca nama kelompok tempuh jalan ruang seminar atas situasi hasil pimpin kelompok,1
124,disko malam senang mengapa marah teman saya biar rasa humor buruk sembunyi asa,2
125,nenek tinggal ibu telepon minggu pagi musim gugur ibu memberitahuku itu benci juga dengar tunggu mati nenek hilang saya salah nenek lambat tenang erti baik,3
126,stasiun tanah mabuk bicara saya coba bicara rekan benci pria geram kotor ini,4
127,malam ngobrol siswa kenal tahun kali bicara bahasa sama - diskusi jumpa inspiratif,0
128,saya kadang tengkar salah saya hubung jadi,2
129,dengar mati kakek saya percaya menang situasi harap sepi hibur,3
130,malam hari tonton tv adik laki masuk makan makan bawa dapur coba konsentrasi program ini,4
131,temu teman lama asa sendiri parah menyalahgunakan dengan paham lengkap sentuh tepuk tangan ambil tangan orang lain dll,0
132,takut jenis murni alami celaka mobil jadi bayang horor pikir saudara perempuan saya teman saya serius benar jadi,1
133,anak laki kenal saya senonoh goda gadis muda malu kenal benci yakin cemooh sentuh marah coba sembunyi kembali mereka,2
134,kasih tinggal tepat putus putus tuju sama konsekuensi - tangis kendali asa sepi keputusasaan keputusasaan cari teman bicara gembira lupa,3
135,penasaran film porno kopenhagen ruang penuh pria engah masturbasi jijik,4
136,menang tanding tenis,0
137,anjing lari es tipis musim semi lalu,1
138,tanding tenis ganggu anak langsung sepeda lapang,2
139,raya wisuda orkestra main kebun saya orkestra ini,0
140,risiko libat kelahi pesta,1
141,milik beban kerja berat rekan kerja tolak ganggu ria teror terus ganggu telpon,2
142,uji gagal,3
143,temu teman schhol tua sekolah cinta,0
144,sepeda sekolah jatuh mobil terlalu salip saya ruang santai,1
145,wakil manajer musim panas deputi ambil bebas normal,2
146,sadar pacar saya suka pisah,3
147,kotor anjing cair musim semi,4
148,lulus uji akhir,0
149,roboh mobil,1
150,halte bus sadar lupa tiket bus saya,2
151,beban kerja banyak asa waktu,3
152,anak umur cium spontan,0
153,pergi mobil tunda,1
154,salah pengaruh negatif,2
155,pikir orangtuaku tua,3
156,mantan rekan tarik biro rekening mereka butuh orang pintar langsung pikir saya,0
157,kemudi ekor rusa muncul mobil lintas belakang,1
158,lapor berita t v apartheid afrika selatan,2
159,pacar hamil,0
160,tabrak mobil lain,1
161,biar udara ban siklus saya,2
162,baca apa,3
163,sakit,3
164,lulus uji,0
165,pergi trem sandung jatuh pintu pikir jatuh,1
166,tinggal trem calon itu,2
167,ketidakmampuan baca buku guru tinggi,3
168,pria tarik uang muka,4
169,kantor acara musim panas referensi bagus dari,0
170,tonton triller malam gelap negara pergi toilet sendiri,1
171,tuduh laku marah,2
172,baca buku tebal milik batas baca milik kerja ikut,3
173,muntah jalan,4
174,penuh syarat profesi,0
175,serang pisau,1
176,masuk mobil sangkal jadi,2
177,diberitahu istri teman derita kanker,3
178,ekor anjing jatuh mobil,4
179,henti milik kerja bosan,0
180,pulang rumah mobil malam cuaca dingin gelap angin panik jalan rumah saya,1
181,tengkar keluarga,2
182,ruang kontak - sepi uras saya,3
183,libur muntah depan,4
184,peluk cinta,0
185,kemudi cepat jalan temu mobil laju tikung tangan kanan kemudi satu sisi jalan selinap hindar tabrak gelap,1
186,mobil tarik polisi lintas parkir keliru tanda pasang parkir,2
187,operasi tinggal tidur lama,3
188,paksa tinggal kantin makan makan dapat,4
189,menang uang duga,0
190,putri usia 2 hilang perhati tanggung untuk,1
191,rekan saran milik percaya saya orang tiga,2
192,hamil hasil alami depresi menstruasi,3
193,bus hangat penuh orang muntah bus bau busuk,4
194,pesta temu teman kursus didik orang dewasa temu 2 pikir lain alam indah,0
195,sepeda lewat taman malam orang lompat hutan coba henti saya teriak sama,1
196,kerabat coba halang ajar psikologi status rendah,2
197,diskus politik kenal tahu gagal sudut pandang disalahpahami tekan pergi,3
