,text,emotion
0,nih gojek jambul keburu turun,2
1,gojek wajib bikin lapor uang akses publik lama,0
2,overheard warung pempek mas driver gojek jual kak sen pempek ada pempek telur mini pempek kelenjer krispi,0
3,uji bidang farmakologi coba kolega dia saya asisten profesor komentar tajam,5
4,ya tinggal order gojek,5
5,iya ya pak hah oooh hahahaha iya begitu hehehee iya pak reaksi gojek ngajak ngobrol tidak,0
6,terima surat pacar tunang pria lain,5
7,mas,0
8,teriak tuduh alas,4
9,gua herman eh segambreng ya,2
10,lucu gaes bct umm gojek u know sik bct sisih endi tetapi lelah jalan kaki menit,3
11,gojek standar indonesia biar mahal banding ompreng anak bangsa bantu produk,0
12,jelas topup gojek app salah bikin bingung saja menu bayar gojek situ,2
13,lu jek gojek,2
14,pilih bidang teliti saya persentase tanda tahu saya,4
15,edan kang daniel rambah abang gojek,5
16,ayah janji kirim uang saku beli pasang sepatu sekolah tengah tidak,4
17,orang kecewa saya gagal jaga janji,2
18,hmmm enak guguk suruh narik gojek,5
19,ketuker buka app gojek pencet spotify pernah,5
20,aje,0
21,siswa kelompok kerja tanggung minat kerja kami,2
22,kursus latih guru b ed latih kami tangan kelas standar sembilan sekolah anak laki takut hadap kelas pertama,1
23,oy lu mana ini otw buru tusuk cilok bawel si bubuk pop es bentar gojek nya bom jemput lu,2
24,transaksi gosend tidak- direjek driver info,0
25,kejar anjing rumah saya,1
26,la gojek dah chat nya ye wkwkwk,0
27,peduli gojek,3
28,tanda klinik pakai gojek ini,2
29,teman ada sesi ajar ajar materi biologi percaya ajar takut gagal,1
30,milik celaka mobil,1
31,anter pk gojek kali hahaa,0
32,biar ilang claim gojek cm tulis elektronik rawan tipu diperta,3
33,ohh ngebidnya sesuai plat ni,0
34,aya pepet gojek,0
35,jual beli tampung tt service mod atomizer baru second gojek via fjbkaskusid,5
36,bang gojek pulaa,2
37,jadi anarkis driver gojek orang pakai jaket gojek beli bebas pasar bayang sih,1
38,jalan liat kendara motor jatoh gojek nganter bilang henti sebentar ya mbak ba,5
39,ceu mas gojek nelfon terusss pas dah sampek kampus mas gojek satu,0
40,malu hadir kelas guru alas ketidakhadiran saya,5
41,henti polisi spanyol milik rumput tembakau saya,1
42,pikir gagal uji diberitahu tanda itu lewat,0
43,jijik ketika makan anak buang air sisi meja,4
44,pacar ting laku kekanak-kanakan - suka pergi temu teman kenal teman ini teman dua suka posesif dengan,4
45,tiru guru punggung - jalan konyol,5
46,film pria derita sakit kulit kelupas,4
47,orang milik stock foto kaya ini sekali foto bagus dikit langsung post instagram ganti dp whatsapp line saya,4
48,bang hujan bang,0
49,mau yaa bubar,0
50,rena semenjak endorse pwj ama ldh gojek naikin tarif v,2
51,pimpin kelas baca nama pilih kuliah bahasa inggris daftar,5
52,pantang gua jalan kerja driver gojek,0
53,kemarin telepon kasih kode kirim sms curiga,1
54,pie susu dhian kirim dgn gojek bekas harga murah invite pin c,0
55,runding orang sombong hancur hidup orang metode benar adil,4
56,yabaru driver gojek bayar customer,5
57,personal tampil aplikasi gojek,0
58,mauuuu hhh gapernah dapet voicher gojek,3
59,oalahhh tohh skema gojek ajayaa uber jarak harga murah banding gojek,5
60,nelpon larry amp sergey wooooi gojek ipo nih pinjem duit borong saham lol,3
61,ku semenjak gojek mahal ku langgan sm dia pinda,3
62,rasa jijik,1
63,gnti nama milea woy doh malu coy liat muka kecele abang gojek pas blg mbak milea ya,0
64,acara olahraga penting,1
65,coba masuk pintu kami,1
66,tuduh laku bela saya,4
67,admin barusan telepon scam aku gojek angka digit langsu,2
68,,0
69,admin barusan telepon scam aku gojek angka digit langsu,2
70,main grab bang,5
71,beli via gojek bisaaaaaaaa,3
72,malu keri rawat saudara perempuan saya,5
73,pie susu dhian kirim dgn gojek bekas harga murah invite pin c,0
74,sempet neduh warkop abang gojek grab yauda nang ngudud banget sebel,5
75,uji sekitar - jam ajar antara,1
76,saudara tahan rampok,2
77,kesel pagi bentak gojek,2
78,melipir scbd trek sikat,0
79,curi masuk rumah tetangga dengar suara tembak,1
80,transaksi gosend tidak- direjek driver info,0
81,kilas info mincel alm sopiih rekan rekan jawat driver online gojek ruang jenazah rs,3
82,driver gojek cuman bilang itu helm disimpen,2
83,temu jalan sahabat saya,0
84,shippingnya senin rabu pilih servicenya day service gojek,2
85,sms undang lanjut daftar gosend sms nya terha,3
86,ken gojek,0
87,jne sih kalau gojek mahal banget,1
88,malu keri rawat saudara perempuan saya,5
89,gojek tanya mau berangkat kerja ya mba dah cocok mba kerja turun disudirman saya,3
90,jenis cacing hitam serang semut,4
91,gadis kenal batal lempar janin tujuh lubang manusia,4
92,trapped rain gojek dan gocar berani dewe xdd nunggu reda platinum internet cafe,3
93,oke bye bye gojek mizkin,3
94,program tv rencana militer amerika utara the startwar,1
95,happy international women s day ditanyain bom nikah bom ketemu jodoh ya sam,3
