,text,emotion
0,@DivHumas_Polri @NTMCLantasPolri Selamat buat para pencari uang di grab dan gojek. Betapa sulitnya cari uang,2
1,"@OrangetvID min, musim ini apakah siarin Liga Gojek Indonesia",3
2,@gojekindonesia pagi2 aplikasi gojek driver sdh error...pembayaran gopay blm masuk...point yg didapat juga blm ditambahkan....,4
3,"Kerena semenjak di endorse pwj ama ldh, gojek naikin tarif :v https://t.co/Y7GsprOvvJ",2
4,"Hai! Sesuai dengan janji, jadi kita mau ngadain event! Tepatnya hari Minggu, tanggal 11 nanti, bertepatan sama mensÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¦ https://t.co/ArJiKsPJ2S",0
5,@w1ongie Ya iyalah hyung. Emg gojek punya bapak lu,2
6,Cara Dapat Pulsa GRATIS Bagi DriverÃƒâ€šÃ‚Â GOJEK https://t.co/M9sIsW0Mxv https://t.co/MUUPEO8NxX,0
7,"Telah Berpulang Bapak Sopiin, Driver Gojek setelah koma beberapa Hari dirumah sakit akibatÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¦ https://t.co/8hyHSnMpA8",3
8,"@gojekindonesia halo min, apakah gojek buka lowongan magang anak smk? Jurusan saya Teknik Komputer Jaringan.",1
9,"Ketika ibu sakit parah, saya takut dia akan meninggal.",1
10,@eunikero Cuma udah sekitar 3 bulan terakhir jarang pake go ride krn akhirnya menyadari kalo tarifnya lebih mahal dÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¦ https://t.co/Xv2JwGW2VS,3
11,"Cerita driver, ambil penumpang di taspen wkwkwkw akting e umak sipp ayas yo tau ngalami, cman penumpange seng tak kÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¦ https://t.co/GRQHqki8Ue",3
12,@initehcece hadu tapi di gojek nasi goreng jauh banget :(,3
13,Saya menjual Oli Shell he... seharga Rp520.000. Dapatkan produk ini hanya di Shopee! https://t.co/aWqsf0o0BGÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¦ https://t.co/7DeUJuagej,0
14,"perk of having ""sukma"" as my gojek username: selalu dipanggil ""mba"" sebelum gue inisiatif ngechat ""saya cowo ya pak""",3
15,Saya merasakan emosi ketika saya memasuki bangsal tertentu di rumah sakit untuk mengunjungi kerabat saya yang sakit.,4
16,Menjadi seksual terhina di bus dan tidak ada yang membantu (orang hanya tertawa).,2
17,"Setelah saya ditangkap oleh preman berusia antara 20-35, mereka meminta saya untuk menyerahkan semua properti yang saya miliki dan saya ingat merasa sangat takut.",1
18,Ketika teman-temanku bersikap kasar pada seorang gadis.,5
19,"@PEMBIMBINGUTAMA Mungkin sudah ditunggu Gojek, pak!",2
20,Pergi sendirian dalam kegelapan.,1
21,"@urjjkuch tapi lu ga termasuk jek 
gojek aja udah",2
22,"Mending Gojek ,Grab, Uber ?
Mau 
Mobil/motor
Sharing yaaaaaaaaa ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Â Mending motoran dewe https://t.co/my89GY40Wb",3
23,"Saya ada di rumah, mengisi laporan pajak saya. Tidak ada yang punya waktu untuk membantu saya. Saya ingin melakukannya dengan cepat sehingga saya bisa pergi dan bertemu dengan seorang teman saya yang baru saja kembali dari rumah sakit. Saya marah karena kakak dan ayah saya menolak memberi saya kalkulator karena saya tidak memintanya dengan baik. Saya tidak bisa pergi karena saya harus menunggu bantuan dan laporan pajak harus diselesaikan.",2
24,"Aku berada di ruang makan Universitas, sendirian, dan di meja sebelahku ada tiga profesor. Salah satu dari mereka meminta saya untuk bergabung dengan mereka. Saya menolak tetapi dia bersikeras. Semua yang lain mulai menatapku dan aku harus pindah ke meja mereka.",5
25,"Sekitar tengah malam saya harus pergi dengan bersepeda melewati Graz sendirian. Secara keseluruhan jaraknya beberapa kilometer. Sebuah mobil mengikutiku melewati jalan-jalan. Baru ketika saya pergi ke jalan satu arah, mobil itu lenyap. Sisa perjalanan pulang saya sangat takut.",1
26,"Ketika saya melihat gambar, di GÃ¶teborg Post, sebuah mobil yang menghancurkan total dengan dua pelanggan yang parah. Mobil itu rusak parah mereka tidak bisa mengeluarkan mayat di tempat kejadian.",4
27,WOE BODAT BGT GUE MALAH NAIK GOJEK ORANG UNTUNG TUJUANNYA SAMA :(((,2
28,"30 menit keretanya berangkat, dan dapet gojek ibu-ibu yg jalannya 40 km/ jam ?

Ya gitu, senam tera deh tengah malem.
Tariik.. Lepaas..",2
29,Perampokan disebutkan dalam kesedihan.,4
30,"@jodohmino NAH GATAU DEH. gofood sms berarti, kalo gojek chat soalnya.",2
31,RT @Mizzeefa: Iki penumpangnya gojek bijimana cara naiknya ya #mikirkeras https://t.co/4GGeDjwOJx,1
32,Sayang aku merasa ketika aku tidak berpakaian dengan benar.,5
33,Lhoh bodoh. Mau login gojek tapi nomer yang ke associated sama akun gojek udah expired.,5
34,"Saya mengajar seseorang untuk mengemudi dan ketika kami hampir jatuh, saya takut.",1
35,Saya membaca sebuah cerita di surat kabar tentang tukang daging memperlakukan hewan mereka dengan sangat buruk. Mereka membuat saya jijik.,4
36,check it fast guyssss....buka aplikasi GO FOOD mu via Gojek https://t.co/5lCYvrdEa5,0
37,@Hugaablee Tinggal suruh gojek,0
38,"@gojekindonesia selamat malam Gojek, boleh minta bantuannya unt tgl 17feb transaksi saya pada pagi hari ke kfc.. karna akan sayaÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¦ #Jakarta",2
