,text,emotion
0,selamat pencari uang grab gojek betapa sulitnya cari uang,2
1,admin musim siarin liga gojek indonesia,3
2,pagi aplikasi gojek driver errorpembayaran gopay masukpoint,4
3,kerena semenjak endorse pwj ama ldh gojek naikin tarif v,2
4,hai sesuai janji ngadain event tepatnya minggu tanggal bertepatan mens,0
5,ya iyalah hyung emg gojek milik lu,2
6,pulsa gratis drivergojek,0
7,berpulang sopiin driver gojek koma dirumah sakit akibat,3
8,halo admin gojek buka lowongan magang anak smk jurusan teknik komputer jaringan,1
9,sakit parah takut meninggal,1
10,jarang pakai go ride menyadari tarifnya mahal,3
11,cerita driver ambil penumpang taspen wkwkwkw akting e umak sipp ayas yo ngalami cman penumpange seng k,3
12,hadu gojek nasi goreng banget,3
13,menjual oli shell seharga rp dapatkan produk shopee,0
14,perk sukma gojek username dipanggil mba inisiatif ngechat cowo ya,3
15,merasakan emosi memasuki bangsal rumah sakit mengunjungi kerabat sakit,4
16,seksual terhina bus membantu orang tertawa,2
17,ditangkap preman berusia menyerahkan properti miliki takut,1
18,temantemanku bersikap kasar gadis,5
19,ditunggu gojek,2
20,pergi kegelapan,1
21,lu jek gojek,2
22,mending gojek grab uber mobilmotorsharing yaaaaaaaaa mending motoran dewe,3
23,rumah mengisi laporan pajak milik membantu melakukannya cepat pergi bertemu teman rumah sakit marah kakak ayah menolak kalkulator memintanya pergi menunggu bantuan laporan pajak diselesaikan,2
24,ruang makan universitas meja sebelahku profesor salah bergabung menolak bersikeras menatapku pindah meja,5
25,malam pergi bersepeda melewati graz jaraknya kilometer mobil mengikutiku melewati jalanjalan pergi jalan arah mobil lenyap sisa perjalanan pulang takut,1
26,gambar gteborg post mobil menghancurkan total pelanggan parah mobil rusak parah mengeluarkan mayat kejadian,4
27,woe bodat gojek orang untung tujuannya,2
28,menit keretanya berangkat dapet gojek ibuibu jalannya km jam ya senam tera deh malemtariik lepaas,2
29,perampokan kesedihan,4
30,gatau deh gofood sms gojek chat,2
31,iki penumpangnya gojek bijimana naiknya ya mikirkeras,1
32,sayang berpakaian,5
33,lhoh bodoh login gojek nomer associated akun gojek expired,5
34,mengajar mengemudi jatuh takut,1
35,membaca cerita surat kabar tukang daging memperlakukan hewan buruk jijik,4
36,check fast guyssssbuka aplikasi go food mu via gojek,0
37,tinggal suruh gojek,0
38,selamat malam gojek bantuannya unt tanggal feb transaksi pagi kfc jakarta,2
39,berpulang sopiin driver gojek koma dirumah sakit akibat,3
40,kehilangan catatan dosen pinjam teman,4
41,teknologi gojek bikin males kadang berame beli rokok pakenya gojek cm nganter rokok sebungkus,4
42,nenekku meninggal memiliki hubungan mendalam dengannya tinggal bersamanya,3
43,fasilitas servis atur harganya nya naujubillah pakai gojek stasiun,2
44,hi barusan terima telepon berusaha penipuan nama gojek,1
45,menonton film dokumenter tv clubbing seal,4
46,liat beneran gojek lemes banget takut jatoh,1
47,jijik orang memperlakukan buruk memperlakukan orang berbohong menyembunyikan fakta berbohong adil dll,4
48,gojek bayar,0
