,text,emotion
0,selamat cari uang grab gojek betapa sulit cari uang,2
1,admin musim siarin liga gojek indonesia,3
2,pagi aplikasi gojek driver errorpembayaran gopay masukpoint,4
3,rena semenjak endorse pwj ama ldh gojek naikin tarif v,2
4,hai sesuai janji ngadain event tepat minggu tanggal tepat mens,0
5,ya iya hyung emg gojek milik lu,2
6,pulsa gratis drivergojek,0
7,pulang sopiin driver gojek koma rumah sakit akibat,3
8,halo admin gojek buka lowong magang anak smk jurus teknik komputer jaring,1
9,sakit parah takut tinggal,1
10,jarang pakai go ride sadar tarif mahal,3
11,cerita driver ambil tumpang taspen wkwkwkw akting e umak sipp ayas yo ngalami cman penumpange seng k,3
12,hadu gojek nasi goreng banget,3
13,jual oli shell harga rp dapat produk shopee,0
14,perk sukma gojek username panggil mba inisiatif ngechat cowo ya,3
15,rasa emosi pasuk bangsal rumah sakit unjung kerabat sakit,4
16,seksual hina bus bantu orang tertawa,2
17,tangkap preman usia serah properti milik takut,1
18,temantemanku sikap kasar gadis,5
19,tunggu gojek,2
20,pergi gelap,1
21,lu jek gojek,2
22,mending gojek grab uber mobilmotorsharing yaaaaaaaaa mending motor dewe,3
23,rumah isi lapor pajak milik bantu laku cepat pergi temu teman rumah sakit marah kakak ayah tolak kalkulator minta pergi tunggu bantu lapor pajak selesai,2
24,ruang makan universitas meja belah profesor salah gabung tolak sikeras tatap pindah meja,5
25,malam pergi sepeda lewat graz jarak kilometer mobil ikut lewat jalanjalan pergi jalan arah mobil lenyap sisa jalan pulang takut,1
26,gambar gteborg post mobil hancur total langgan parah mobil rusak parah keluar mayat jadi,4
27,woe bodat gojek orang untung tuju,2
28,menit kereta berangkat dapet gojek ibuibu jalan km jam ya senam tera deh malemtariik lepaas,2
29,ampo sedih,4
30,gatau deh gofood sms gojek chat,2
31,iki tumpang gojek bijimana naik ya mikirkeras,1
32,sayang pakai,5
33,lhoh bodoh login gojek nomer associated akun gojek expired,5
34,ajar kemudi jatuh takut,1
35,baca cerita surat kabar tukang daging laku hewan buruk jijik,4
36,check fast guyssssbuka aplikasi go food mu via gojek,0
37,tinggal suruh gojek,0
38,selamat malam gojek bantu unt tanggal feb transaksi pagi kfc jakarta,2
39,pulang sopiin driver gojek koma rumah sakit akibat,3
40,hilang catat dosen pinjam teman,4
41,teknologi gojek bikin males kadang berame beli rokok pakenya gojek cm nganter rokok bungkus,4
42,nenek tinggal milik hubung dalam dengan tinggal sama,3
43,fasilitas servis atur harga nya naujubillah pakai gojek stasiun,2
44,hi barusan terima telepon usaha tipu nama gojek,1
45,tonton film dokumenter tv clubbing seal,4
46,liat beneran gojek lemes banget takut jatoh,1
47,jijik orang laku buruk laku orang bohong sembunyi fakta bohong adil dll,4
48,gojek bayar,0
49,bawabawa kakak kakak gojek bawabawa tanah abang deh ah,4
50,pacar milik hubung jatuh cinta gadis sirat cinta gadis cinta,3
51,iyaa rin gojek ae ntar,0
52,ok see entire point iya sih ekslusif gojek isu lintas industri teknologi,0
53,bhye gojek,2
54,rasain nitik kfc dapetnya ya kfc bang temen ane nahkalo ujanbarungeblas,5
55,tengkar sengit kasih niat meni tolak menang henti menang keluar,2
56,admin jam gojek ambil paket trx tiket siang jam,5
57,pisah tlah gojek grab,3
58,pulang pagipagi pergi hutan,1
59,ketawa ditawarin tutup kepala babang gojek disposable headcap dipake,0
60,driver gojek pickup ya terima kasih aes,0
61,pergi ruang makan temu juru masak bersih piring makan burungburung biru jaga aman sibuk makan makan,2
62,pukpukliat email notifikasi trip gojek ikut nang,3
63,songong motor buk emang situ pakai gojek ato,3
64,eleuh eleuh baju savenkri banget gojek ikut foto ya kaya,0
65,milik jg mind order masuk poin masuk poin,3
66,tinggal gelap,1
67,dengar mahasiswa pascasarjana bicara gadisgadis unsiutable obat,4
68,gojek kak kerja temenku bilang nikah biar jemput like ridiculous,4
69,umur bapakbapak gojek sik sampun sepuh tetep gayuh rezeki udan deres banget ngene,3
70,takut curi,1
71,teman kamar acau kamar,4
72,order gojek gimama ya admin ko eror gin,2
73,gosendgrabsend mahal gojekgrabbike,2
74,pose curiga si abang gojek ganteng bottom,5
75,salah teman nasihat pacar pukul pukul sakit,4
76,wa kalah gojek keduluan universal studio,5
77,percaya aing kasi contoh nih bijak privasi ojol sesuai topik twit bahas,4
78,pesta anakanak cerita kisahkisah berontak gadisgadis,4
79,main ski turun lereng dingin cepat kondisi putih kendali laku mana tuju,1
80,hai kak kendala alami mohon hubung driver gojek yaa,1
81,pilih kuliah bahasa inggris teman perempuan pilih,3
82,ajar teman kelas daftar orangorang bantu uji profesor,2
83,way ceonya gopay kerja bantuin pkk arisan arisan panci dsbnya manfaat,5
84,sisa kenganuan malam pulang jatuh gojek lekas sembuh ya mas biar jogja,0
85,benci munafik teman perempuan coba ganggu urus calon suami sikap,4
86,mudah beli makan buka handphone tinggal klik applikasi go,0
87,ganti nama aplikasi gojek driver chat manggil,5
88,nenek tinggal dengan,3
89,jijik siswa hamil sah,4
