,text,emotion
0,berkat gojek grab ketemu temen teman lama gratisin,0
1,suka pakai gojek pakai gopay gua suka pakai grab sih,0
2,naik gojek gojek kaget sendi,5
3,tinggal depok masker jawab males ngambil krn bayar parkir kantor gojek depok mahal,2
4,rek gojek blokir krn salah masuk pin buka nya ya admin,3
5,pakai gps jalan gojek jemput gue kantor gue mana susah,3
6,driver gojek sekarang hp tinggal helm balikin gilaaa,5
7,hapus akun gojek,4
8,pdkt gapapa jemput pergi sih,3
9,rating tips aplikasi gojek error rating dan,5
10,akibat toko tolak pesan kirim area gojek,3
11,mitra gojek cancel order daerah pondok indah hubung payah,2
12,suka tampil gojek baru,0
13,aplikasi grab ok nonjolin layan saja milik layan lain bandingin gojek,3
14,gojek cuman bikin hidup mudah lho teman hp nya aplikasi gojek,0
15,habis kena hack tipu akun gojek admin kronologi sms gojek pin rahasia abis telepon nomer,2
16,semenjak ubah tampil gojek tampil aplikasi seringkali error kali ditelepon order gojek,2
17,sering terjadi gojek timpa driver performa bagus muncul order fiktif,2
18,ah terima kasih adek gojek hati sore,0
19,order gojek kasih bintang ehh driver nya mabuk hedeehhh,5
20,anarkis driver gojek orang pakai jaket gojek beli bebas pasar bayang sih,1
21,hi barusan terima telepon usaha tipu nama gojek,1
22,tipu modus mama pulsa target guna gojek guna transaksi non tunai gopay,1
23,hati telepon aku gojek tipu mengatasnamakan gojek,1
24,hai gojek teman daftar akun gojek email pribadi tolong bantu hapus akun,1
25,takutin main hape gojek hape licin brokk langsung pasangin iring,1
26,sore pas sendal tukar hidup selamat mas gojek,0
27,loh reply sangkal bilang gojek grab sedia asuransi,5
28,terima telepon aku tugas go-jek rp juta hilang raup,5
29,order gojek ya admin rusak seperti ini,2
30,mesen gojek dapet driver nya ibu sedih banget nya ganti bawa gue gabisa bawa motor maaf ya,3
31,barusan liat susu bayi motor jalan baju dinaikin sampe atas hadeh pada,4
32,gue buang ingus kena abang gojek,4
33,kesel bgt ya abang gojek chat bales bgt pas telepon bilang,4
34,tweet pagi awal gondok gue tipe kendara lambat jalan raya,4
35,umur hidup deket cowo saking posesif screenshot history gojek jijik,4
