aktip,aktif
aktifitas,aktivitas
Apotik,Apotek
apotik,Apotek
analisa,analisis
azas,asas
Azas,asas
atlit,Atlet
Atlit,Atlet
Antri,antre 
antri,antre 
Atmosfir,Atmosfer
atmosfir,Atmosfer
Erobik,Aerobic
erobik,Aerobic
ahir,akhir
Ahir,akhir
antar-instansi,antarinstansi
Antar-instansi,antarinstansi
Baud,Baut
baud,Baut
Bis,Bus
bis,Bus
Berfikir,berpikir 
berfikir,berpikir 
Cabe,Cabai
cabe,Cabai
Cinderamata,Cenderamata
cinderamata,Cenderamata
Difinisi,definisi
difinisi,definisi
Disel,Diesel
disel,disel
Dipersilahkan,dipersilakan
dipersilahkan,dipersilakan
Dipindah,dipindahkan
dipindah,dipindahkan
Dollar,Dolar
dollar,Dolar
Daptar,Daftar
daptar,Daftar
Difinisi,Definisi
difinisi,Definisi
Depo,Depot
depo,Depot
Detil,detail
detil,detail
Diagnosa,Diagnosis
diagnosa,diagnosis 
Differensial,diferensial
differensial,diferensial
Dipersilahkan,dipersilakan
dipersilahkan,dipersilakan
Disyahkan,disahkan
disyahkan,disahkan
Eksport,Ekspor
eksport,ekspor
Ekstrim,ekstrem
ekstrim,ekstrem
Ekwivalen,ekuivalen
ekwivalen,ekuivalen
Hembus,embus
hembus,embus
esei,esai
Pebruari,Februari
pebruari,Februari
Phiologi,Fiologi 
phiologi,Fiologi 
Filem,Film
filem,Film
Phisik,fisik
phisik,fisik
Photo,Foto
Photo,Foto
frekwensi,Frekuensi
Frekwensi,Frekuensi
Hapal,hafal
hapal,hafal
Hakekat,Hakikat
hakekat,Hakikat
Hirarki,Hierarki
Hipotesa,Hipotesis
Ijasah,Ijazah
Ihlas,Ikhlas
Himbau,Imbau
Ilmiawan,Ilmuwan
Import,Impor
Insyaf,Insaf
Hisap,Isap
Isteri,Istri
Ijin,Izin
Jadual,Jadwal
Jenasah,Jenazah
Jendral,Jenderal
Kaedah,Kaidah
Karir,Karier
Khutbah,Khotbah
Komplek,Kompleks
Kondite,Konduite
konperensi,Konferesi
Konkrit,Konkret
Konsepsionil,Konsepsional
Koordinir,Koordinasi
Kwalitas,Kualitas
Kwantitas,Kuantitas
Kwitansi,Kuitansi
Lobang,Lubang
Managemen,Manajemen
Manager,Manajer
Memproklamirkan,Memproklamasikan
Menyolok,Mencolok
Mendifinisikan,Mendefinisikan
Menterapkan,Menerapkan
Menterjemahkan,Menerjemahkan
Melola,Mengelola
Mengenyampingkan,Mengesampingkan
Mengeritik,Mengkritik
Mengobah,Mengubah
merubah,Mengubah
Mensukseskan,Menyukseskan
Musti,Mesti
Metoda,Metode
Motip,Motif
Motifasi,Motivasi
nara sumber,Narasumber
Nasehat,Nasihat
Nopember,November
obyek,Objek 
obyektif,Objektif 
On,Ons
Perletakan,Peletakan
Penasehat,Penasihat
Prosentase,Persentase
Pertanggung-jawab,Pertanggungjawaban
Problimatik,Problematic
Produktifitas,Produktivitas
Psikotest,Psikotes
Rejeki,Rezeki
Resiko,Risiko
Rubuh,Roboh
Seksama,Saksama
Sekertaris,Sekretaris
Mumpung,Selagi
Silahkan,Silakan
Sintesa,Sintesis
Sistimatis,Sistematis
Sistim,Sistem
Spesis,Spesies
Spiritual,Spiritual
Standarisasi,Standardisasi
Setasiun,Stasiun
